,medicine,precision,recall,f1-score
0,麻黃,1.0,1.0,1.0
1,桂枝,0.9525547445255474,0.9775280898876404,0.964879852125693
2,荊芥,0.47058823529411764,1.0,0.64
3,防風,0.6304347826086957,1.0,0.7733333333333333
4,細辛,0.9637305699481865,0.9637305699481865,0.9637305699481865
5,白芷,0.19444444444444445,1.0,0.32558139534883723
6,生薑,0.9075144508670521,0.9691358024691358,0.9373134328358208
7,辛夷,0.9333333333333333,1.0,0.9655172413793105
8,葛根,0.3793103448275862,1.0,0.5499999999999999
9,升麻,0.6111111111111112,1.0,0.7586206896551725
10,柴胡,0.966183574879227,0.975609756097561,0.9708737864077668
11,蟬蛻,0.7857142857142857,0.9166666666666666,0.8461538461538461
12,石膏,0.8901098901098901,1.0,0.9418604651162791
13,知母,0.897196261682243,0.9896907216494846,0.9411764705882353
14,梔子,0.7662337662337663,0.9833333333333333,0.8613138686131386
15,天花粉,0.6,1.0,0.7499999999999999
16,夏枯草,0.6875,1.0,0.8148148148148148
17,決明子,0.36363636363636365,1.0,0.5333333333333333
18,生地,0.7954545454545454,0.9859154929577465,0.8805031446540881
19,牡丹皮,0.75,1.0,0.8571428571428572
20,連翹,0.6875,1.0,0.8148148148148148
21,射干,0.9411764705882353,1.0,0.9696969696969697
22,黃連,0.9219858156028369,0.9923664122137404,0.9558823529411766
23,黃芩,0.9682539682539683,0.953125,0.9606299212598426
24,黃柏,0.75,0.9782608695652174,0.849056603773585
25,龍膽草,0.8301886792452831,0.9887640449438202,0.9025641025641026
26,大黃,0.8782608695652174,0.9711538461538461,0.9223744292237442
27,芒硝,0.8333333333333334,1.0,0.9090909090909091
28,防己,0.7777777777777778,0.9824561403508771,0.8682170542635658
29,秦艽,0.7142857142857143,1.0,0.8333333333333334
30,絡石藤,0.8333333333333334,1.0,0.9090909090909091
31,蒼朮,0.7857142857142857,0.9777777777777777,0.8712871287128713
32,草果,0.8571428571428571,1.0,0.9230769230769229
33,茯苓,0.9444444444444444,0.9714285714285714,0.9577464788732394
34,豬苓,0.7922077922077922,0.9682539682539683,0.8714285714285714
35,薏苡仁,0.5294117647058824,1.0,0.6923076923076923
36,海金砂,0.5384615384615384,1.0,0.7
37,澤瀉,0.990990990990991,0.9523809523809523,0.9713024282560706
38,車前子,0.75,1.0,0.8571428571428572
39,滑石,0.5106382978723404,1.0,0.676056338028169
40,木通,0.873015873015873,1.0,0.9322033898305084
41,通草,1.0,1.0,1.0
42,赤小豆,0.75,1.0,0.8571428571428572
43,燈心草,0.27586206896551724,1.0,0.43243243243243246
44,乾薑,0.9342105263157895,0.9793103448275862,0.9562289562289562
45,附子,0.9739776951672863,0.9776119402985075,0.9757914338919925
46,吳茱萸,0.8985507246376812,1.0,0.9465648854961832
47,枳實,0.8673469387755102,0.9550561797752809,0.9090909090909091
48,烏藥,0.8529411764705882,0.9886363636363636,0.9157894736842105
49,厚朴,0.8490566037735849,0.9574468085106383,0.8999999999999999
50,大腹皮,0.2916666666666667,1.0,0.45161290322580644
51,青皮,0.52,1.0,0.6842105263157895
52,薤白,0.6842105263157895,1.0,0.8125
53,麥芽,0.8315789473684211,0.9875,0.9028571428571429
54,側柏葉,0.6904761904761905,1.0,0.8169014084507042
55,槐花,0.6666666666666666,1.0,0.8
56,三七,0.625,1.0,0.7692307692307692
57,茜草,0.8857142857142857,0.9789473684210527,0.93
58,川芎,0.8882978723404256,0.9823529411764705,0.9329608938547485
59,乳香,0.6,1.0,0.7499999999999999
60,延胡索,0.6666666666666666,1.0,0.8
61,鬱金,0.8761904761904762,1.0,0.934010152284264
62,紅花,0.8333333333333334,1.0,0.9090909090909091
63,桃仁,0.8461538461538461,1.0,0.9166666666666667
64,牛膝,0.8787878787878788,0.9666666666666667,0.9206349206349206
65,半夏,0.9,0.9745222929936306,0.9357798165137615
66,白附子,0.6551724137931034,1.0,0.7916666666666667
67,桔梗,0.8095238095238095,1.0,0.8947368421052632
68,旋覆花,1.0,0.9795918367346939,0.9896907216494847
69,瓜蔞,0.7142857142857143,1.0,0.8333333333333334
70,海藻,0.6923076923076923,1.0,0.8181818181818181
71,杏仁,0.8243243243243243,1.0,0.9037037037037037
72,紫菀,0.5333333333333333,1.0,0.6956521739130435
73,龍骨,0.8723404255319149,1.0,0.9318181818181818
74,牡蠣,0.9047619047619048,0.9827586206896551,0.9421487603305786
75,酸棗仁,0.7073170731707317,0.9666666666666667,0.8169014084507041
76,遠志,0.8888888888888888,1.0,0.9411764705882353
77,小麥,0.3684210526315789,1.0,0.5384615384615384
78,代赭石,0.9523809523809523,1.0,0.9756097560975611
79,黃耆,0.7884615384615384,0.9761904761904762,0.8723404255319148
80,白朮,0.9277777777777778,0.9709302325581395,0.9488636363636362
81,大棗,0.9036144578313253,0.9803921568627451,0.9404388714733541
82,甘草,0.9802816901408451,0.96398891966759,0.9720670391061452
83,巴戟天,0.7948717948717948,1.0,0.8857142857142858
84,補骨脂,0.9503105590062112,0.9807692307692307,0.9652996845425866
85,益智仁,0.8333333333333334,1.0,0.9090909090909091
86,陽起石,0.8666666666666667,1.0,0.9285714285714286
87,續斷,0.5555555555555556,1.0,0.7142857142857143
88,杜仲,0.5185185185185185,1.0,0.6829268292682926
89,何首烏,0.6956521739130435,1.0,0.8205128205128205
90,當歸,0.9481132075471698,0.9710144927536232,0.9594272076372314
91,白芍,0.9871382636655949,0.9331306990881459,0.959375
